timestamp,position_lat,position_long,distance,speed,idx,Sat,hdop,cog
1018010516,620964878,-6787940,6,1.283,26,14,0.8,28
1018010517,620964997,-6787940,7.5,1.283,27,14,0.8,44
1018010518,620965108,-6787901,9,1.181,28,14,0.8,99
1018010531,620965046,-6787898,9,0,41,14,0.8,99
1018010532,620964982,-6787876,9,0,42,14,0.8,99
1018010533,620964916,-6787801,10,0,43,14,0.8,99
1018010534,620964866,-6787687,11,1.028,44,14,0.9,41
1018010535,620964845,-6787556,12,0.769,45,14,0.9,44
1018010536,620964846,-6787419,13,0.822,46,14,0.8,99
1018010537,620964854,-6787278,13,0.822,47,14,0.7,232
1018010538,620964856,-6787254,13,0.822,48,14,0.7,232
1018010539,620964857,-6787231,13,0,49,14,0.7,232
1018010540,620964858,-6787208,13,0,50,14,0.7,232
1018010541,620964859,-6787185,13,0,51,14,0.7,232
1018010542,620964861,-6787162,13,0,52,14,0.7,232
1018010543,620964847,-6787082,13,0,53,14,0.7,232
1018010544,620964813,-6787037,13,0,54,14,0.7,232
1018010545,620964762,-6787010,14,0.769,55,14,0.7,268
1018010546,620964717,-6786989,15,0.769,56,14,0.7,268
1018010547,620964660,-6786995,15,0.769,57,14,0.7,268
1018010548,620964600,-6787048,15,0.769,58,14,0.7,268
1018010549,620964544,-6787127,16,1.028,59,14,0.7,323
1018010571,620964453,-6787125,17,0,81,14,0.7,323
1018010572,620964397,-6787137,17,0,82,14,0.7,323
1018010573,620964381,-6787173,18,0,83,14,0.7,323
1018010574,620964384,-6787226,19,0.617,84,14,0.8,28
1018010575,620964406,-6787259,19,0.617,85,14,0.7,329
1018010576,620964425,-6787277,19,0,86,14,0.7,329
1018010577,620964445,-6787295,19,0,87,14,0.7,329
1018010578,620964484,-6787345,19,0,88,14,0.7,329
1018010579,620964529,-6787415,20.5,0,89,14,0.7,329
1018010580,620964597,-6787502,22,1.078,90,14,0.8,304
1018010581,620964663,-6787619,23.5,1.078,91,14,0.8,296
1018010582,620964731,-6787758,25,0.872,92,14,0.8,293
1018010583,620964793,-6787915,26,0.975,93,14,0.8,282
1018010584,620964844,-6788094,27,0.975,94,14,0.8,290
1018010585,620964889,-6788293,28.5,1.128,95,14,0.8,296
1018010586,620964941,-6788509,30,1.078,96,14,0.8,297
1018010587,620965002,-6788714,31.5,1.078,97,14,0.7,310
1018010588,620965065,-6788921,33,1.181,98,14,0.7,299
1018010589,620965132,-6789153,35,1.903,99,14,0.7,281
1018010590,620965198,-6789422,37,2.108,100,14,0.8,285
1018010591,620965291,-6789828,39,2.211,101,14,0.7,303
1018010592,620965379,-6790178,41,2.364,102,14,0.7,305
1018010593,620965482,-6790520,43.5,2.519,103,14,0.7,294
1018010594,620965586,-6790881,46,2.108,104,14,0.7,291
1018010595,620965688,-6791257,48.5,2.211,105,14,0.7,296
1018010596,620965790,-6791624,51,2.211,106,14,0.8,306
1018010597,620965884,-6791938,52,2.158,107,14,0.8,307
1018010598,620965978,-6792161,53,1.283,108,14,0.8,332
1018010599,620966064,-6792278,54.5,1.283,109,14,0.7,325
1018010600,620966183,-6792426,56,2.519,110,14,0.7,324
1018010601,620966384,-6792675,58.5,2.417,111,14,0.8,312
1018010602,620966557,-6792928,61,2.417,112,14,0.7,314
1018010603,620966731,-6793182,63,2.417,113,14,0.7,314
1018010604,620966882,-6793459,65,2.417,114,14,0.7,310
1018010605,620967015,-6793734,66.5,2.417,115,14,0.7,316
1018010606,620967145,-6793973,68,2.417,116,14,0.7,315
1018010607,620967267,-6794175,69.5,2.417,117,14,0.7,305
1018010608,620967374,-6794358,71,1.903,118,14,0.7,20
1018010609,620967410,-6794395,71,1.903,119,14,0.7,191
1018010610,620967446,-6794433,71,0.617,120,14,0.7,191
1018010611,620967498,-6794465,71,0,121,14,0.7,191
1018010612,620967506,-6794447,71,0,122,14,0.7,191
1018010613,620967495,-6794405,71,0.206,123,14,0.7,131
1018010614,620967485,-6794371,71,0.206,124,14,0.7,131
1018010615,620967477,-6794337,71,0,125,14,0.7,131
1018010616,620967449,-6794267,71,0,126,14,0.7,131
1018010617,620967413,-6794162,72.5,0,127,14,0.7,131
1018010618,620967384,-6794049,74,0.794,128,14,0.8,131
1018010619,620967363,-6793939,74.5,0.103,129,14,0.7,71
1018010620,620967344,-6793831,75,0.617,130,14,0.8,101
1018010621,620967326,-6793713,75.5,0.744,131,14,0.8,352
1018010631,620967260,-6793602,76,0,141,14,0.8,352
1018010632,620967252,-6793528,76,0,142,14,0.8,352
1018010633,620967312,-6793503,77.5,0,143,14,0.8,352
1018010634,620967391,-6793507,79,1.697,144,14,0.7,171
1018010635,620967434,-6793514,79,1.697,145,14,0.7,171
1018010636,620967429,-6793515,79,1.697,146,14,0.7,171
1018010637,620967399,-6793518,79,0.461,147,14,0.7,256
1018010669,620967363,-6793519,79,0,179,14,0.7,256
1018010670,620967343,-6793547,79,0,180,14,0.7,256
1018010671,620967326,-6793613,80,0,181,14,0.7,256
1018010672,620967307,-6793716,81,0.872,182,14,0.7,242
1018010673,620967283,-6793840,82,0.872,183,14,0.7,238
1018010674,620967255,-6793981,83,0.667,184,14,0.7,265
1018010675,620967221,-6794123,84,0.769,185,14,0.7,234
1018010676,620967187,-6794260,85,0.769,186,14,0.7,231
1018010677,620967145,-6794396,86,0.822,187,14,0.7,230
1018010678,620967092,-6794532,87,0.822,188,14,0.7,241
1018010679,620967046,-6794664,87.5,0.822,189,14,0.7,253
1018010680,620967008,-6794792,88,0.822,190,14,0.7,245
1018010681,620966976,-6794917,88.5,0.564,191,14,0.7,239
1018010682,620966943,-6795026,89,0.461,192,14,0.7,3
1018010724,620966665,-6795483,89,0,234,14,0.7,3
1018010725,620966483,-6795811,89,0,235,14,0.7,3
1018010726,620966391,-6796042,89,0,236,14,0.7,3
1018010727,620966372,-6796204,94.5,0.872,237,14,0.7,324
1018010728,620966384,-6796346,100,0.822,238,14,0.7,293
1018010729,620966401,-6796488,100.5,0.822,239,14,0.7,302
1018010730,620966432,-6796632,101,1.028,240,14,0.7,330
1018010731,620966480,-6796771,102.5,1.233,241,14,0.7,319
1018010732,620966551,-6796925,104,1.644,242,14,0.7,317
1018010733,620966640,-6797092,105.5,1.644,243,14,0.7,320
1018010734,620966746,-6797271,107,1.233,244,14,0.7,311
1018010735,620966863,-6797456,109,1.492,245,14,0.7,320
1018010736,620966996,-6797650,111,1.644,246,14,0.7,326
1018010737,620967144,-6797853,113,1.644,247,14,0.7,322
1018010738,620967301,-6798061,115,1.697,248,14,0.7,328
1018010739,620967475,-6798261,117,1.747,249,14,0.7,326
1018010740,620967654,-6798470,119,1.953,250,14,0.7,321
1018010741,620967833,-6798688,121.5,1.953,251,14,0.7,320
1018010742,620968012,-6798903,124,2.056,252,14,0.7,319
1018010743,620968241,-6799208,126,2.056,253,14,0.7,308
1018010744,620968433,-6799476,128,2.056,254,14,0.7,317
1018010745,620968602,-6799733,129.5,2.056,255,14,0.7,319
1018010746,620968758,-6799978,131,2.056,256,13,0.7,308
