time,m,knots
12:56:08,498.3,22.014
13:58:18,493.7,20.419
13:01:27,493.2,20.397
12:58:57,498.9,19.790
13:04:02,488.6,19.383
14:29:05,485.5,19.260
13:19:30,491.6,19.112
14:24:17,478.2,18.972
14:35:10,276.6,18.538
12:53:49,369.7,18.427
13:06:48,351.8,17.997
12:51:58,268.3,17.986
12:58:08,367.1,17.837
13:15:37,288.6,17.530
13:54:56,251.9,17.490
13:22:24,465.8,17.412
13:36:35,402.6,17.390
13:33:04,330.7,17.373
12:54:31,250.6,16.797
12:51:26,323.6,16.552
14:34:35,263.0,16.493
12:55:24,321.7,16.455
12:48:03,315.3,15.322
12:57:18,255.7,15.060
13:06:10,290.5,14.479
13:11:52,492.8,14.298
12:53:08,253.5,14.076
14:36:34,491.4,13.646
13:44:37,250.4,13.522
13:00:09,492.8,13.306
13:59:25,455.3,13.210
13:38:54,489.6,12.522
13:29:54,497.3,10.985
14:42:48,500.0,10.450
13:10:45,276.9,10.157
13:34:21,352.6,9.389
13:04:56,251.4,9.049
13:07:56,258.7,8.380
13:31:14,267.5,7.124
