timestamp,position_lat,position_long,distance,speed,idx,Sat,hdop,cog
1003662131,603354604,-29330321,233,10.803,145,13,1.1,321
1003662132,603355623,-29331668,245,11.625,146,13,1.1,317
1003662133,603356623,-29333122,257.5,12.447,147,13,1.1,314
1003662134,603357588,-29334657,270,12.447,148,13,1.1,313
1003662135,603358512,-29336243,283,12.603,149,13,1.1,314
1003662136,603359414,-29337833,296,12.397,150,13,1.1,314
1003662137,603360348,-29339394,308.5,12.089,151,13,1.1,314
1003662138,603361268,-29340956,321,12.397,152,13,1.1,312
1003662139,603362163,-29342483,333,12.447,153,13,1.1,315
1003662140,603363023,-29343915,345,12.55,154,13,1.1,313
1003662141,603363844,-29345382,356.5,11.317,155,13,1.1,309
1003662142,603364646,-29347007,368,11.317,156,13,1.1,308
1003662143,603365420,-29348781,381,11.831,157,13,1.1,301
1003662144,603366160,-29350649,394,12.858,158,13,1.1,308
1003662145,603366933,-29352342,406.5,12.858,159,13,1.1,311
1003662146,603367701,-29353928,419,11.831,160,13,1.1,308
1003662147,603368452,-29355509,430.5,11.625,161,13,1.1,303
1003662148,603369152,-29357153,442,11.831,162,13,1.1,297
1003662149,603369791,-29358829,454,11.831,163,13,1.1,299
1003662150,603370408,-29360387,466,11.933,164,13,1.1,307
1003662151,603371031,-29361730,475.5,10.75,165,13,1.1,309
1003662152,603371691,-29362974,485,9.722,166,13,1.1,313
1003662153,603372385,-29364142,494.5,9.722,167,13,1.1,313
1003662154,603373107,-29365279,504,9.722,168,13,1.1,313
1003662155,603373839,-29366467,514,9.772,169,13,1.1,314
1003662156,603374596,-29367705,524,9.875,170,13,1.1,312
1003662157,603375357,-29369039,534.5,10.031,171,13,1.1,306
1003662158,603376095,-29370530,545,10.442,172,13,1.1,305
1003662159,603376799,-29372026,556,11.008,173,13,1.1,308
1003662160,603377503,-29373514,567,11.008,174,13,1.1,303
1003662161,603378204,-29374982,578,11.008,175,13,1.1,307
1003662162,603378921,-29376469,589,10.75,176,13,1.1,307
1003662163,603379679,-29377973,600.5,11.214,177,13,1.1,310
1003662164,603380485,-29379512,612,11.831,178,13,1.1,309
1003662165,603381313,-29381073,624,11.831,179,13,1.1,309
1003662166,603382179,-29382634,636,11.831,180,13,1.1,314
1003662167,603383126,-29384129,648.5,12.089,181,13,1.1,318
1003662168,603384152,-29385571,661,12.706,182,13,1.1,323
1003662169,603385215,-29386969,674,12.808,183,13,1.1,326
1003662170,603386363,-29388296,687,12.808,184,13,1.1,324
1003662171,603387577,-29389644,701,12.808,185,13,1.1,324
1003662172,603388813,-29391016,715,13.683,186,13,1.1,325
1003662173,603390062,-29392321,729,13.786,187,13,1.1,328
1003662174,603391357,-29393559,743,13.683,188,13,1.1,331
1003662175,603392698,-29394661,757.5,13.836,189,13,1.1,337
1003662176,603394125,-29395625,772,13.683,190,13,1.1,340
1003662177,603395628,-29396510,787,14.197,191,13,1.1,339
1003662178,603397159,-29397386,802,14.917,192,13,1.1,338
1003662179,603398675,-29398238,817,14.969,193,13,1.1,339
1003662180,603400197,-29399056,832,14.917,194,13,1.1,343
1003662181,603401735,-29399745,847,14.764,195,13,1.1,347
1003662182,603403334,-29400346,862,14.403,196,13,1.1,346
1003662183,603404968,-29400929,877.5,14.764,197,13,1.1,344
1003662184,603406617,-29401575,893,14.764,198,13,1.1,342
1003662185,603408270,-29402296,909,14.917,199,13,1.1,342
1003662186,603409903,-29403066,925,14.969,200,13,1.1,340
1003662187,603411480,-29403889,940.5,15.019,201,13,1.1,334
1003662188,603412925,-29404838,956,15.019,202,13,1.1,330
1003662189,603414119,-29405941,969,14.353,203,13,1.1,316
1003662190,603415100,-29407330,982,12.5,204,13,1.1,306
1003662191,603415837,-29408929,993.5,12.5,205,13,1.1,303
1003662192,603416522,-29410490,1005,11.986,206,13,1.1,303
1003662193,603417168,-29412054,1016,11.008,207,13,1.1,303
1003662194,603417792,-29413615,1027,10.906,208,13,1.1,303
1003662195,603418446,-29415149,1038,10.906,209,13,1.1,308
1003662196,603419187,-29416618,1049,10.906,210,13,1.1,317
1003662197,603420050,-29417936,1060.5,11.214,211,13,1.1,326
1003662198,603421030,-29418985,1072,11.161,212,13,1.1,339
1003662199,603422047,-29419748,1082.5,11.008,213,13,1.1,341
1003662200,603423070,-29420094,1093,10.75,214,13,1.1,9
1003662201,603424031,-29419963,1102,10.906,215,13,1.1,21
1003662202,603424687,-29419481,1111,8.792,216,13,1.1,44
1003662203,603425031,-29418899,1115,7.303,217,13,1.1,67
1003662204,603425093,-29418536,1119,4.319,218,13,1.1,113
1003662205,603425066,-29418356,1121,2.006,219,13,1.1,149
1003662206,603425029,-29418233,1123,1.233,220,13,1.1,140
1003662212,603424950,-29418105,1123,0,226,13,1.1,140
1003662213,603424872,-29417990,1123,0,227,13,1.1,140
1003662214,603424769,-29417876,1123,0,228,13,1.1,140
1003662215,603424668,-29417774,1125.5,0,229,13,1.1,162
1003662216,603424639,-29417742,1128,1.078,230,13,1.1,162
1003662217,603424611,-29417711,1128,0,231,13,1.1,162
1003662218,603424582,-29417680,1128,0,232,13,1.1,162
1003662219,603424490,-29417604,1128,0,233,13,1.1,162
1003662220,603424369,-29417515,1128,0,234,13,1.1,162
1003662221,603424216,-29417400,1131,0,235,13,1.1,150
1003662222,603423970,-29417201,1134,2.211,236,13,1.1,157
1003662223,603423795,-29417040,1136.5,1.953,237,13,1.1,153
1003662224,603423476,-29416767,1139,2.675,238,13,1.1,156
1003662225,603423168,-29416503,1143,2.983,239,13,1.1,152
1003662226,603422679,-29416084,1147,3.086,240,13,1.1,149
1003662227,603422319,-29415797,1150,3.136,241,13,1.1,150
1003662228,603421937,-29415450,1153,3.136,242,13,1.1,144
1003662229,603421520,-29415062,1158,3.394,243,13,1.1,151
1003662230,603421095,-29414648,1163,4.167,244,13,1.1,154
1003662231,603420624,-29414308,1168,4.422,245,13,1.1,160
1003662232,603420157,-29413967,1173,4.269,246,13,1.1,157
1003662233,603419671,-29413618,1178,4.422,247,13,1.1,156
1003662234,603419210,-29413272,1183,4.167,248,13,1.1,143
1003662235,603418771,-29412882,1187.5,4.167,249,13,1.1,148
1003662236,603418353,-29412521,1192,4.269,250,13,1.1,155
1003662237,603417939,-29412232,1196,4.269,251,13,1.1,149
1003662238,603417541,-29411920,1200,4.269,252,13,1.1,156
1003662239,603417137,-29411584,1204.5,4.269,253,13,1.1,147
1003662240,603416727,-29411187,1209,4.269,254,13,1.1,144
1003662241,603416288,-29410712,1214,4.525,255,13,1.1,147
1003662242,603415836,-29410190,1219,4.269,256,13,1.1,147
1003662243,603415348,-29409629,1224.5,5.247,257,13,1,144
1003662244,603414816,-29409013,1230,5.606,258,13,1,142
1003662245,603414257,-29408388,1237,5.914,259,13,1,150
1003662246,603413476,-29407601,1244,6.378,260,13,1,154
1003662247,603412833,-29407032,1250.5,6.739,261,13,1,154
1003662248,603412177,-29406494,1257,6.789,262,13,1,155
1003662249,603411496,-29405929,1264,6.944,263,13,1,149
1003662250,603410773,-29405324,1271,7.097,264,13,1,156
1003662251,603410016,-29404697,1279.5,7.714,265,13,1,151
1003662252,603409203,-29404020,1288,7.714,266,13,1,152
1003662253,603408349,-29403285,1297,8.483,267,13,1,154
1003662254,603407437,-29402540,1306,9.311,268,13,1,154
1003662255,603406472,-29401787,1316,9.772,269,13,1,155
1003662256,603405473,-29401020,1326,10.286,270,13,1,152
1003662257,603404451,-29400206,1337,10.442,271,13,1,152
1003662258,603403417,-29399313,1348,10.853,272,13,1,150
1003662259,603402381,-29398386,1359,11.161,273,13,1,152
1003662260,603401336,-29397488,1370,11.161,274,13,1,153
1003662261,603400263,-29396647,1381,11.008,275,13,1,152
1003662262,603399176,-29395828,1392,10.853,276,13,1,154
1003662263,603398083,-29394984,1403.5,11.008,277,13,1,152
1003662264,603396968,-29394081,1415,11.008,278,13,1,150
1003662265,603395820,-29393173,1427,11.781,279,13,1,157
1003662266,603394644,-29392371,1439,11.781,280,13,1,160
1003662267,603393444,-29391650,1451,11.678,281,13,1,159
1003662268,603392253,-29390974,1463,11.469,282,13,1,160
1003662269,603391092,-29390298,1474.5,11.367,283,13,1,157
1003662270,603389940,-29389551,1486,11.469,284,13,1,156
1003662271,603388758,-29388729,1498,11.522,285,13,1,154
1003662272,603387546,-29387847,1510,12.036,286,13,1,154
1003662273,603386308,-29386969,1523,12.653,287,13,1,159
1003662274,603385059,-29386182,1536,12.653,288,13,1,164
1003662275,603383825,-29385497,1548,12.603,289,13,1,160
1003662276,603382605,-29384803,1560,12.397,290,13,1,154
1003662277,603381409,-29383965,1572,12.036,291,13,1,149
1003662278,603380260,-29382997,1584,12.089,292,13,1,149
1003662279,603379147,-29382003,1596,12.089,293,13,1,151
1003662280,603378040,-29381022,1608,12.089,294,13,1,152
1003662281,603376921,-29380087,1620,12.089,295,13,1,154
1003662282,603375794,-29379219,1632,12.089,296,13,1,155
1003662283,603374672,-29378359,1643.5,12.036,297,13,1,149
1003662284,603373555,-29377402,1655,12.036,298,13,1,147
1003662285,603372430,-29376362,1667.5,12.036,299,13,1,149
1003662286,603371291,-29375310,1680,12.036,300,13,1,152
1003662287,603370100,-29374315,1692.5,12.089,301,13,1,154
1003662288,603368870,-29373359,1705,12.192,302,13,1,153
1003662289,603367622,-29372380,1718,12.192,303,13,1,151
1003662290,603366389,-29371380,1731,12.294,304,13,1,152
1003662291,603365147,-29370360,1744,12.344,305,13,1,152
1003662292,603363899,-29369309,1757,12.603,306,13,1,153
1003662293,603362626,-29368210,1770.5,13.272,307,13,1,149
1003662294,603361360,-29367066,1784,13.478,308,13,1,150
1003662295,603360091,-29365899,1797.5,13.733,309,13,1,149
1003662296,603358820,-29364714,1811,13.786,310,13,1,148
1003662297,603357538,-29363472,1825,13.889,311,13,1,144
1003662298,603356268,-29362073,1839,13.478,312,13,1,137
1003662299,603355091,-29360480,1853.5,13.733,313,13,1,132
1003662300,603354010,-29358704,1868,13.786,314,13,1,127
1003662301,603353021,-29356687,1883.5,14.608,315,13,1,120
1003662302,603352115,-29354461,1899,15.019,316,13,1,119
1003662303,603351260,-29352087,1915,16.203,317,13,1,118
1003662304,603350415,-29349659,1931,16.306,318,13,1,120
1003662305,603349557,-29347190,1947.5,16.408,319,13,1,118
1003662306,603348731,-29344653,1964,16.461,320,13,1,115
1003662307,603347955,-29342069,1981,16.203,321,13,1,112
1003662308,603347258,-29339395,1998,16.667,322,13,1,108
1003662309,603346636,-29336600,2016,17.233,323,13,1,106
1003662310,603346070,-29333728,2034,17.694,324,13,1,106
1003662311,603345559,-29330817,2051.5,17.85,325,13,1,105
1003662312,603345056,-29327912,2069,17.953,326,13,1,106
1003662313,603344578,-29325068,2086.5,17.85,327,13,1,103
1003662314,603344226,-29322285,2104,17.383,328,13,1,94
1003662315,603344093,-29319633,2120,16.922,329,13,1,85
1003662316,603344146,-29317238,2136,15.483,330,13,1,86
1003662317,603344193,-29315173,2147.5,14.3,331,13,1,100
1003662318,603344059,-29313636,2159,12.139,332,13,1,135
1003662319,603343691,-29312799,2165,9.825,333,13,1,175
1003662320,603343200,-29312546,2171,6.533,334,13,1,178
1003662321,603342877,-29312582,2175,5.5,335,13,1,194
1003662322,603342577,-29312733,2179,4.319,336,13,1,217
1003662323,603342462,-29312833,2181,2.881,337,13,1,155
1003662324,603342386,-29312903,2183,1.386,338,13,1,328
1003662353,603342264,-29313016,2183,0,367,13,1,328
1003662354,603342174,-29313121,2183,0,368,13,1,328
1003662355,603342126,-29313232,2183,0,369,13,1,328
1003662356,603342122,-29313339,2183,0,370,13,1,13
1003662357,603342145,-29313432,2184.5,0.925,371,13,1,346
1003662358,603342201,-29313519,2186,0.872,372,13,1,355
1003662359,603342306,-29313618,2188,0.872,373,13,1,339
1003662360,603342508,-29313830,2190,2.311,374,13,1,315
1003662361,603342712,-29314115,2193,2.622,375,13,1,318
1003662362,603343085,-29314656,2196,3.292,376,13,1,320
1003662363,603343354,-29315079,2199.5,3.292,377,13,1,313
1003662364,603343608,-29315481,2203,3.292,378,13,1,319
1003662365,603343862,-29315863,2206.5,3.136,379,13,1,321
1003662366,603344012,-29316086,2210,2.983,380,13,1,317
1003662367,603344363,-29316640,2213.5,3.136,381,13,1,320
1003662368,603344685,-29317084,2217,3.189,382,13,1,328
1003662369,603345046,-29317505,2221.5,3.292,383,13,1,332
1003662370,603345463,-29317956,2226,3.856,384,13,1,322
1003662371,603345907,-29318489,2231.5,4.833,385,13,1,318
1003662372,603346377,-29319120,2237,5.453,386,13,1,315
1003662373,603347058,-29320073,2243.5,6.017,387,13,1,322
1003662374,603347663,-29320889,2250,6.325,388,13,1,323
1003662375,603348308,-29321735,2258,7.561,389,13,1,323
1003662376,603349028,-29322633,2266,7.819,390,13,1,323
1003662377,603349789,-29323610,2275,8.744,391,13,1,317
1003662378,603350586,-29324691,2284,9.311,392,13,1,318
1003662379,603351428,-29325856,2295,9.722,393,13,1,318
1003662380,603352316,-29327081,2306,10.442,394,13,1,319
1003662381,603353225,-29328361,2317,11.008,395,13,1,316
1003662382,603354131,-29329748,2328,11.108,396,13,1,310
1003662383,603354971,-29331258,2340,11.572,397,13,1,306
1003662384,603355748,-29332840,2352,11.572,398,13,1,308
1003662385,603356534,-29334438,2364,11.728,399,13,1,309
1003662386,603357325,-29336018,2376,11.572,400,13,1,311
1003662387,603358170,-29337561,2388,11.419,401,13,1,315
1003662388,603359048,-29339052,2400,11.572,402,13,1,312
1003662389,603359940,-29340585,2412.5,11.572,403,13,1,310
1003662390,603360838,-29342153,2425,11.831,404,13,1,311
1003662391,603361673,-29343718,2437,11.728,405,13,1,308
1003662392,603362428,-29345287,2449,11.728,406,13,1,307
1003662393,603363160,-29346866,2460.5,11.728,407,13,1,307
1003662394,603363889,-29348444,2472,11.678,408,13,1,305
1003662395,603364611,-29349998,2483.5,11.678,409,13,1,307
1003662396,603365349,-29351466,2495,11.572,410,13,1,306
1003662397,603366087,-29352932,2506,11.367,411,13,1,306
1003662398,603366804,-29354419,2517,11.317,412,13,1,306
1003662399,603367497,-29355912,2528,11.264,413,13,1,306
1003662400,603368187,-29357394,2539,11.214,414,13,1,306
1003662401,603368889,-29358870,2550,11.161,415,13,1,309
1003662402,603369611,-29360301,2561,10.906,416,13,1,312
1003662403,603370363,-29361715,2572,10.853,417,13,1,310
1003662404,603371151,-29363125,2583,10.853,418,13,1,312
1003662405,603371990,-29364515,2594,10.853,419,13,1,316
1003662406,603372886,-29365893,2605,11.317,420,13,1,317
1003662407,603373832,-29367275,2617.5,11.728,421,13,1,319
1003662408,603374821,-29368653,2630,12.089,422,13,1,318
1003662409,603375851,-29370066,2642.5,12.344,423,13,1,317
1003662410,603376860,-29371496,2655,12.653,424,13,1,316
1003662411,603377849,-29372969,2667.5,12.653,425,13,1,313
1003662412,603378818,-29374469,2680,12.653,426,13,1,316
1003662413,603379725,-29376010,2692.5,12.344,427,13,1,310
1003662414,603380606,-29377653,2705,12.344,428,13,1,308
1003662415,603381480,-29379339,2718,12.344,429,13,1,309
1003662416,603382361,-29381012,2731,12.344,430,13,1,311
1003662417,603383301,-29382604,2744,12.653,431,13,1,318
1003662418,603384329,-29384061,2757,12.653,432,13,1,324
1003662419,603385464,-29385442,2770.5,13.219,433,13,1,323
1003662420,603386659,-29386795,2784,13.478,434,13,1,325
1003662421,603387922,-29388092,2798,13.836,435,14,1,329
1003662422,603389264,-29389305,2812,14.144,436,14,1,330
1003662423,603390676,-29390484,2827,14.353,437,14,1,335
1003662424,603392171,-29391552,2842,14.867,438,14,1,340
1003662425,603393779,-29392463,2858,15.742,439,14,1,346
1003662426,603395459,-29393158,2874,15.894,440,14,1,350
1003662427,603397208,-29393624,2890.5,16.256,441,14,1,353
1003662428,603399031,-29393884,2907,16.358,442,14,1,358
1003662429,603400939,-29393936,2925,16.614,443,14,1,1
1003662430,603402885,-29393813,2943,17.489,444,14,1,4
1003662431,603404838,-29393569,2961,17.953,445,14,1,4
1003662432,603406793,-29393326,2979,18.003,446,14,1,2
1003662433,603408734,-29393112,2997,17.953,447,14,1,1
1003662434,603410647,-29392950,3015,17.9,448,14,1,1
1003662435,603412523,-29392807,3032.5,17.336,449,14,0.9,1
1003662436,603414379,-29392709,3050,17.336,450,14,0.9,358
1003662437,603416016,-29392710,3065.5,17.336,451,14,0.9,356
1003662438,603417838,-29392908,3081,16.564,452,14,0.9,350
1003662439,603419366,-29393312,3096.5,16.306,453,14,0.9,340
1003662440,603420911,-29394150,3112,15.483,454,14,0.9,331
1003662441,603422237,-29395251,3126.5,13.733,455,14,0.9,320
1003662442,603423297,-29396548,3141,13.067,456,14,0.9,312
1003662443,603424188,-29397981,3152.5,12.036,457,14,0.9,307
1003662444,603424950,-29399489,3164,11.367,458,14,1,304
1003662445,603425572,-29401025,3175,11.008,459,14,0.9,300
1003662446,603426107,-29402534,3186,10.542,460,14,0.9,301
1003662447,603426625,-29403971,3195.5,10.081,461,14,0.9,303
1003662448,603427169,-29405284,3205,9.772,462,14,0.9,306
1003662449,603427732,-29406515,3214,9.156,463,14,0.9,309
1003662450,603428325,-29407672,3223,9.156,464,14,0.9,310
1003662451,603428944,-29408733,3231.5,9,465,14,0.9,317
1003662452,603429607,-29409743,3240,8.744,466,14,0.9,319
1003662453,603430315,-29410756,3249,8.744,467,14,0.9,316
1003662454,603431023,-29411829,3258,9.208,468,14,0.9,311
1003662455,603431677,-29412962,3267.5,9.156,469,14,0.9,306
1003662456,603432272,-29414146,3277,9.156,470,14,0.9,306
1003662457,603432819,-29415372,3285.5,9.053,471,14,0.9,301
1003662458,603433321,-29416651,3294,9.053,472,14,0.9,298
1003662459,603433813,-29417916,3303,9,473,14,0.9,304
1003662460,603434295,-29419122,3312,8.792,474,14,0.9,303
