time,m,knots
12:48:23,489.6,21.148
12:37:54,491.9,20.344
12:40:07,499.9,20.242
13:08:13,497.8,20.159
12:32:21,491.9,19.515
13:12:10,491.1,19.481
13:20:18,491.9,19.124
12:44:10,492.8,18.074
13:24:28,495.0,17.493
12:56:30,492.4,16.794
12:35:54,413.5,16.075
