timestamp,position_lat,position_long,distance,speed,idx,Sat,hdop,cog
1005654523,603338735,-29309121,5,0.358,24,12,1.7,99
1005654524,603338701,-29308993,5,0,25,12,1.7,110
1005654525,603338670,-29308907,5,0,26,12,1.7,110
1005654526,603338635,-29308861,6.5,0,27,12,1.7,110
1005654527,603338587,-29308828,8,0.308,28,12,1.7,110
1005654528,603338505,-29308753,8.5,0.308,29,12,2.7,127
1005654529,603338426,-29308657,9,0.308,30,12,2.7,42
1005654530,603338358,-29308561,9,0,31,12,1.7,320
1005654538,603338365,-29308487,9,0,39,12,1.7,320
1005654539,603338382,-29308455,9,0,40,12,1.7,320
1005654540,603338420,-29308451,10.5,1.336,41,12,1.7,320
1005654541,603338488,-29308474,12,1.542,42,12,1.7,317
1005654542,603338569,-29308554,15.5,1.594,43,12,1.2,317
1005654543,603338754,-29308698,19,1.747,44,12,1.2,322
1005654544,603338960,-29308863,20.5,1.747,45,12,1.2,322
1005654545,603339141,-29309034,22,1.492,46,12,1.2,307
1005654546,603339291,-29309211,23.5,1.492,47,12,1.2,309
1005654547,603339421,-29309389,25,1.542,48,12,1.2,304
1005654548,603339541,-29309582,27,1.594,49,12,1.2,306
1005654549,603339657,-29309809,29,1.644,50,12,1.2,295
1005654550,603339761,-29310045,31,1.644,51,12,1.2,293
1005654551,603339865,-29310297,33,1.644,52,12,1.2,301
1005654552,603339964,-29310569,34.5,1.644,53,12,1.2,293
1005654553,603340058,-29310841,36,1.644,54,12,1.2,291
1005654554,603340147,-29311113,37.5,1.644,55,12,1.2,297
1005654555,603340232,-29311383,39,1.644,56,12,1.2,296
1005654556,603340311,-29311638,40.5,1.644,57,12,1.2,299
1005654557,603340385,-29311872,42,1.644,58,12,1.2,311
1005654558,603340468,-29312099,43.5,1.644,59,12,1.2,306
1005654559,603340563,-29312317,45,1.644,60,12,1.2,312
1005654560,603340656,-29312534,46.5,1.594,61,12,1.2,314
1005654561,603340755,-29312742,48,1.542,62,12,1.2,305
1005654562,603340846,-29312946,49,1.542,63,12,1.2,301
1005654563,603340930,-29313138,50,1.492,64,12,1.2,303
1005654564,603341014,-29313320,51,1.439,65,12,1.2,313
1005654565,603341091,-29313499,52,1.386,66,12,1.2,304
1005654566,603341149,-29313669,52,1.386,67,12,1.2,325
1005654567,603341161,-29313719,52,0,68,12,1.2,325
1005654568,603341174,-29313769,52,0,69,12,1.2,325
1005654569,603341187,-29313820,52,0,70,12,1.2,325
1005654570,603341231,-29313936,53.5,0,71,12,1.2,325
1005654571,603341276,-29314032,55,0.617,72,12,1.2,325
1005654572,603341327,-29314118,56.5,1.644,73,12,1.2,343
1005654573,603341409,-29314205,58,2.211,74,12,1.2,341
1005654574,603341536,-29314303,61,2.722,75,12,1.2,345
1005654575,603341766,-29314451,64,2.828,76,12,1.2,336
1005654576,603342001,-29314606,68,3.394,77,12,1.2,333
1005654577,603342271,-29314782,72,4.011,78,12,1.2,336
1005654578,603342780,-29315119,76.5,4.422,79,12,1.2,337
1005654579,603343196,-29315409,81,5.247,80,12,1.2,335
1005654580,603343655,-29315734,86.5,5.247,81,12,1.2,331
1005654581,603344140,-29316119,92,5.297,82,12,1.2,329
1005654582,603344624,-29316546,97,5.142,83,12,1.2,332
1005654583,603345114,-29316967,102,5.297,84,12,1.2,333
1005654584,603345608,-29317378,108.5,6.017,85,12,1.2,334
1005654585,603346152,-29317813,115,6.222,86,12,1.2,330
1005654586,603346909,-29318467,121.5,6.481,87,12,1.2,328
1005654587,603347509,-29319044,128,6.739,88,12,1.2,326
1005654588,603348111,-29319654,135,6.789,89,12,1.2,329
1005654589,603348713,-29320265,142,6.892,90,12,1.2,331
1005654590,603349362,-29320839,150.5,7.508,91,12,1.2,335
1005654591,603350074,-29321410,159,8.231,92,12,1.2,335
1005654592,603350869,-29322013,168.5,9.258,93,13,1.2,331
1005654593,603351708,-29322708,178,9.311,94,13,1.2,327
1005654594,603352553,-29323521,182.5,9.311,95,13,1.2,323
1005654595,603353366,-29324404,187,9.311,96,13,1.2,325
1005654596,603354184,-29325307,196.5,9.464,97,13,1.2,328
1005654597,603355084,-29326199,206,9.667,98,13,1.2,330
1005654598,603356053,-29327082,217,10.647,99,13,1.2,329
1005654599,603357059,-29328010,228,11.058,100,13,1.2,327
1005654600,603358064,-29328990,239.5,11.161,101,13,1.2,329
1005654601,603359105,-29329985,251,11.367,102,13,0.9,328
1005654602,603360140,-29331044,262.5,11.728,103,13,0.9,324
1005654603,603361122,-29332191,274,11.728,104,13,0.9,319
1005654604,603362012,-29333397,284.5,11.108,105,13,0.9,319
1005654605,603362888,-29334597,295,11.108,106,13,0.9,323
1005654606,603363812,-29335783,306.5,11.108,107,13,0.9,323
1005654607,603364788,-29336951,318,11.108,108,13,0.9,321
1005654608,603365711,-29338130,329,11.108,109,13,0.9,319
1005654609,603366592,-29339326,340,11.108,110,13,0.9,317
1005654610,603367442,-29340535,350.5,11.108,111,13,0.9,317
1005654611,603368289,-29341717,361,11.008,112,13,0.9,321
1005654612,603369160,-29342830,371,10.183,113,13,0.9,323
1005654613,603370036,-29343892,381,10.183,114,13,0.9,324
1005654614,603370953,-29344910,392,10.339,115,13,0.9,326
1005654615,603371916,-29345919,403,10.906,116,13,0.9,325
1005654616,603372862,-29346968,414,10.853,117,13,0.9,325
1005654617,603373820,-29348026,425,10.853,118,13,0.9,321
1005654618,603374749,-29349144,436,10.803,119,13,0.9,320
1005654619,603375655,-29350300,447,10.853,120,13,0.9,322
1005654620,603376582,-29351470,458,10.853,121,13,0.9,319
